Area Name,Employment,Employment percent relative standard error,Hourly mean wage,Annual mean wage,Wage percent relative standard error,Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage,Annual 25th percentile wage,Annual median wage,Annual 75th percentile wage,Annual 90th percentile wage,"Employment per 1,000 jobs",Location Quotient
Alabama,520,28.9,40.61,84470,4.6,22.63,25.12,38.6,49.33,63.14,47080,52240,80290,102600,131340,0.271,0.36
Alaska,120,13.5,50.55,105150,3.6,29.67,30.24,47.71,61.11,78.26,61710,62910,99230,127110,162770,0.41,0.54
Arizona,2420,13.2,46.63,96990,7.7,28.57,37.3,47.76,50.76,63.14,59430,77590,99330,105580,131340,0.838,1.11
Arkansas,250,5.7,,,,,,,,,,,,,,0.214,0.28
California,17750,5.3,64,133110,2.3,33.76,44.45,62.28,79.69,98.81,70210,92460,129550,165750,205510,1.074,1.43
Colorado,3070,11.4,50.86,105790,3.6,29.28,37.46,49.24,61.11,74.21,60900,77910,102410,127110,154360,1.171,1.56
Connecticut,760,9.6,49.09,102100,3,21.56,36.11,47.43,59.88,80.43,44840,75100,98650,124550,167300,0.485,0.64
Delaware,370,27.2,61.45,127810,6.5,37.82,47.67,61.22,78.26,80.68,78670,99150,127330,162770,167810,0.853,1.13
District of Columbia,1380,10.7,56.48,117470,4.2,36.04,38.7,49.38,72.96,81.02,74970,80500,102700,151760,168520,2.087,2.77
Florida,4590,11.2,43.68,90850,3.6,28.5,31.05,37.49,49.08,63.14,59290,64590,77980,102090,131340,0.533,0.71
Georgia,4340,14.3,50.36,104760,3.4,28.62,37.38,48.38,61.99,78.02,59530,77750,100620,128940,162280,0.991,1.32
Hawaii,70,10.5,40.48,84200,2,18.55,18.55,38.54,49.23,72.96,38590,38590,80150,102410,151760,0.12,0.16
Idaho,150,37.5,47.71,99240,3.8,37.32,46.13,47.62,47.62,61.96,77620,95940,99040,99040,128880,0.195,0.26
Illinois,4670,6.6,50,104010,2,29.28,37.38,47.94,61.11,73.21,60900,77750,99720,127110,152270,0.83,1.1
Indiana,2150,7.7,36.19,75280,3,21.24,23.75,34.89,47.43,57.69,44180,49400,72580,98650,119990,0.72,0.96
Iowa,1510,2.3,43.98,91470,1.4,24.19,37.03,46.62,49.29,62.25,50320,77020,96970,102520,129490,1.018,1.35
Kansas,190,18,44.75,93070,5.2,29.28,36.05,43.99,55.45,63.14,60900,74980,91500,115340,131340,0.139,0.18
Kentucky,,,38.39,79860,3.3,28.19,31.86,36.39,45.79,48.81,58640,66260,75680,95250,101530,,
Louisiana,130,28.7,38.21,79470,9,22.63,28.47,36.05,48.41,60.95,47080,59210,74980,100690,126780,0.073,0.1
Maine,540,9.7,43.46,90410,3.8,29.45,30.18,38.54,54.45,61.74,61260,62780,80150,113260,128430,0.912,1.21
Maryland,2280,14,56.57,117660,2.7,35.77,44.67,55.84,63.3,79.79,74400,92910,116140,131660,165960,0.895,1.19
Massachusetts,2720,12,53.63,111550,6.8,24.29,36.72,48.65,62.53,80.77,50520,76380,101200,130060,168010,0.801,1.06
Michigan,2990,6.5,41.68,86680,2.9,23.76,30.36,38.33,48.95,62.53,49410,63160,79730,101810,130060,0.736,0.98
